Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,year
930,268,H,Arizona,0,10,0,7,17,37,40,160,20,,,,,,,,,2018
930,269,V,Cleveland,3,14,11,14,42,44.5,44,120,23,,,,,,,,,2018
930,270,H,Oakland,7,7,7,21,45,pk,2.5,-140,0.5,,,,,,,,,2018
930,271,V,SanFrancisco,14,3,7,3,27,47,46.5,375,24,,,,,,,,,2018
930,272,H,LAChargers,6,11,9,3,29,9.5,10,-500,6.5,,,,,,,,,2018
930,273,V,NewOrleans,0,12,7,14,33,4,3,-180,0.5,,,,,,,,,2018
930,274,H,NYGiants,7,0,3,8,18,49,52,150,24.5,,,,,,,,,2018
930,275,V,Baltimore,14,0,3,9,26,51,52,142,27.5,,,,,,,,,2018
930,276,H,Pittsburgh,0,14,0,0,14,3,3,-165,3,,,,,,,,,2018
1001,277,V,KansasCity,3,7,3,14,27,5,3.5,-185,4.5,,,,,,,,,2018
1001,278,H,Denver,3,10,7,3,23,55,53.5,155,27,,,,,,,,,2018
1004,301,V,Indianapolis,0,3,7,14,24,53,49.5,500,23.5,,,,,,,,,2018
1004,302,H,NewEngland,7,17,0,14,38,10,11,-700,3,,,,,,,,,2018
1007,451,V,Baltimore,3,0,3,3,9,3,3,-185,2.5,,,,,,,,,2018
1007,452,H,Cleveland,0,6,3,0,12,47,45,155,21.5,,,,,,,,,2018
1007,453,V,Jacksonville,0,0,7,7,14,49.5,48,135,2.5,,,,,,,,,2018
1007,454,H,KansasCity,7,13,3,7,30,3,3,-155,24,,,,,,,,,2018
1007,455,V,Tennessee,3,3,0,6,12,4,6.5,-300,4,,,,,,,,,2018
1007,456,H,Buffalo,7,0,3,3,13,39.5,38,240,17.5,,,,,,,,,2018
1007,457,V,NYGiants,3,10,3,15,31,44,43.5,240,21,,,,,,,,,2018
1007,458,H,Carolina,7,13,0,13,33,6.5,6.5,-300,2,,,,,,,,,2018
1007,459,V,Denver,7,3,0,6,16,43,42.5,-110,3,,,,,,,,,2018
1007,460,H,NYJets,0,21,3,10,34,2,pk,-110,21,,,,,,,,,2018
1007,461,V,Atlanta,0,10,0,7,17,56,57.5,155,28,,,,,,,,,2018
1007,462,H,Pittsburgh,13,0,14,14,41,3,3.5,-185,pk,,,,,,,,,2018
1007,463,V,GreenBay,0,0,14,9,23,1,50,110,5,,,,,,,,,2018
1007,464,H,Detroit,14,10,0,7,31,51,1.5,-130,24,,,,,,,,,2018
1007,465,V,Miami,0,14,3,0,17,50,48,210,24,,,,,,,,,2018
1007,466,H,Cincinnati,0,0,3,24,27,6,6,-260,6.5,,,,,,,,,2018
1007,467,V,Oakland,0,3,0,7,10,51,52,190,pk,,,,,,,,,2018
1007,468,H,LAChargers,3,14,3,6,26,7.5,5.5,-240,24,,,,,,,,,2018
1007,469,V,Arizona,7,7,0,14,28,41,40.5,142,20,,,,,,,,,2018
1007,470,H,SanFrancisco,6,0,0,12,18,5.5,3,-165,3,,,,,,,,,2018
1007,471,V,Minnesota,3,14,3,3,23,44.5,48.5,160,24.5,,,,,,,,,2018
1007,472,H,Philadelphia,0,3,3,15,21,3,3.5,-190,5.5,,,,,,,,,2018
1007,473,V,LARams,7,10,7,9,33,7,7.5,-360,6,,,,,,,,,2018
1007,474,H,Seattle,7,10,14,0,31,48,50.5,280,26.5,,,,,,,,,2018
1007,475,V,Dallas,6,0,7,3,16,45.5,45.5,155,23.5,,,,,,,,,2018
1007,476,H,Houston,0,10,3,3,19,3,3.5,-185,3,,,,,,,,,2018
1008,477,V,Washington,3,10,0,6,19,51,52.5,215,26.5,,,,,,,,,2018
1008,478,H,NewOrleans,6,20,14,3,43,6.5,6,-265,0.5,,,,,,,,,2018
1011,103,V,Philadelphia,14,10,7,3,34,2.5,2,-137,23,,,,,,,,,2018
1011,104,H,NYGiants,3,3,7,0,13,45,45,117,0.5,,,,,,,,,2018
1014,251,V,Arizona,3,7,0,7,17,43,43.5,375,21.5,,,,,,,,,2018
1014,252,H,Minnesota,10,3,14,0,27,10.5,9.5,-500,5,,,,,,,,,2018
1014,253,V,LAChargers,7,14,14,3,38,2,47,-110,23,,,,,,,,,2018
1014,254,H,Cleveland,0,6,0,8,14,46.5,pk,-110,2.5,,,,,,,,,2018
1014,255,V,Chicago,0,0,21,7,28,2,7,-350,6.5,,,,,,,,,2018
1014,256,H,Miami,7,0,6,15,31,43.5,40.5,275,19.5,,,,,,,,,2018
1014,257,V,Carolina,0,6,3,8,17,1,1.5,-125,2.5,,,,,,,,,2018
1014,258,H,Washington,14,3,0,6,23,45.5,44.5,105,22.5,,,,,,,,,2018
1014,259,V,Indianapolis,7,6,7,14,34,46,48,125,1,,,,,,,,,2018
1014,260,H,NYJets,10,13,10,9,42,3.5,2.5,-145,24,,,,,,,,,2018
1014,261,V,Pittsburgh,0,14,3,11,28,54.5,50,100,25,,,,,,,,,2018
1014,262,H,Cincinnati,7,7,0,7,21,2.5,1,-120,1,,,,,,,,,2018
1014,263,V,TampaBay,6,7,3,13,29,57,57.5,140,pk,,,,,,,,,2018
1014,264,H,Atlanta,7,17,0,10,34,3.5,3,-160,29,,,,,,,,,2018
1014,265,V,Seattle,7,10,3,7,27,3,3,-160,21,,,,,,,,,2018
1014,266,H,Oakland,0,0,0,3,3,47,48,140,0.5,,,,,,,,,2018
1014,267,V,Buffalo,0,0,6,7,13,41,40,375,17,,,,,,,,,2018
1014,268,H,Houston,7,3,0,10,20,9.5,10,-500,3.5,,,,,,,,,2018
1014,269,V,LARams,6,7,7,3,23,7,7,-330,3.5,,,,,,,,,2018
1014,270,H,Denver,3,0,7,10,20,53,50.5,260,24,,,,,,,,,2018
1014,271,V,Jacksonville,0,0,7,0,7,1.5,3,-170,4,,,,,,,,,2018
1014,272,H,Dallas,10,14,6,10,40,41.5,39.5,145,19,,,,,,,,,2018
1014,273,V,Baltimore,7,7,7,0,21,pk,2.5,-140,21,,,,,,,,,2018
1014,274,H,Tennessee,0,0,0,0,0,42.5,43,120,pk,,,,,,,,,2018
1014,275,V,KansasCity,6,3,17,14,40,58,59.5,170,3,,,,,,,,,2018
1014,276,H,NewEngland,10,14,3,16,43,3,4,-200,30,,,,,,,,,2018
1015,277,V,SanFrancisco,14,10,3,3,30,46.5,46.5,377,24.5,,,,,,,,,2018
1015,278,H,GreenBay,17,3,3,10,33,9,9,-490,7,,,,,,,,,2018
1018,301,V,Denver,21,14,7,3,45,2.5,1,-115,19.5,,,,,,,,,2018
1018,302,H,Arizona,3,0,7,0,10,40.5,42.5,-105,0.5,,,,,,,,,2018
1021,451,V,Tennessee,3,3,7,6,19,45.5,46,240,23.5,,,,,,,,,2018
1021,452,H,LAChargers,10,0,7,3,20,6.5,6.5,-300,3,,,,,,,,,2018
1021,453,V,NewEngland,7,14,10,7,38,2.5,2,-130,24.5,,,,,,,,,2018
1021,454,H,Chicago,10,7,7,7,31,50,49.5,110,pk,,,,,,,,,2018
1021,455,V,Cleveland,2,0,7,14,23,49.5,52.5,160,24.5,,,,,,,,,2018
1021,456,H,TampaBay,3,13,7,0,26,3,3.5,-190,pk,,,,,,,,,2018
1021,457,V,Detroit,7,10,9,6,32,2.5,3,-190,23,,,,,,,,,2018
1021,458,H,Miami,0,7,7,7,21,47,47,160,pk,,,,,,,,,2018
1021,459,V,Carolina,0,0,0,21,21,45,45,200,21,,,,,,,,,2018
1021,460,H,Philadelphia,0,10,7,0,17,4.5,5,-250,pk,,,,,,,,,2018
1021,461,V,Buffalo,0,0,5,0,5,44,43.5,250,20,,,,,,,,,2018
1021,462,H,Indianapolis,0,24,0,13,37,9.5,7,-310,1.5,,,,,,,,,2018
1021,463,V,Cincinnati,0,7,3,0,10,58.5,56.5,240,28,,,,,,,,,2018
1021,464,H,KansasCity,7,17,14,7,45,5,6.5,-300,pk,,,,,,,,,2018
1021,465,V,Minnesota,7,3,10,17,37,3,3.5,-190,pk,,,,,,,,,2018
1021,466,H,NYJets,7,0,3,7,17,47,45,160,21,,,,,,,,,2018
1021,467,V,Houston,6,7,7,0,20,44,42.5,160,20.5,,,,,,,,,2018
1021,468,H,Jacksonville,0,0,7,0,7,3.5,3.5,-190,3.5,,,,,,,,,2018
1021,469,V,NewOrleans,0,7,0,17,24,51,49,125,24.5,,,,,,,,,2018
1021,470,H,Baltimore,0,10,7,6,23,2.5,2.5,-145,pk,,,,,,,,,2018
1021,471,V,Dallas,0,7,0,10,17,42,2,-130,0.5,,,,,,,,,2018
1021,472,H,Washington,7,0,3,10,20,1.5,40.5,110,20,,,,,,,,,2018
1021,473,V,LARams,3,19,10,7,39,10,9,-450,2.5,,,,,,,,,2018
1021,474,H,SanFrancisco,0,7,3,0,10,52,52,350,24,,,,,,,,,2018
1022,475,V,NYGiants,0,3,3,14,20,54,52,199,0.5,,,,,,,,,2018
1022,476,H,Atlanta,0,10,0,13,23,3.5,4,-240,16,,,,,,,,,2018
1025,103,V,Miami,7,3,10,3,23,45.5,45,290,22.5,,,,,,,,,2018
1025,104,H,Houston,7,7,14,14,42,7,7.5,-380,3,,,,,,,,,2018
1028,251,V,Philadelphia,0,10,7,7,24,2,4,-220,0.5,,,,,,,,,2018
1028,252,H,Jacksonville,3,3,6,6,18,41,44.5,180,21.5,,,,,,,,,2018
1028,253,V,Cleveland,6,0,6,6,18,50.5,47.5,340,23,,,,,,,,,2018
1028,254,H,Pittsburgh,0,14,9,10,33,7.5,8,-440,3,,,,,,,,,2018
1028,255,V,Denver,7,7,0,9,23,55.5,53,330,27,,,,,,,,,2018
1028,256,H,KansasCity,3,13,14,0,30,9.5,8,-430,4.5,,,,,,,,,2018
1028,257,V,NYJets,0,3,0,7,10,46,42,300,20,,,,,,,,,2018
1028,258,H,Chicago,7,0,7,10,24,7,8,-400,4,,,,,,,,,2018
1028,259,V,Washington,7,0,3,10,20,1,1,-120,21,,,,,,,,,2018
1028,260,H,NYGiants,0,3,0,10,13,42,43.5,100,pk,,,,,,,,,2018
1028,261,V,Seattle,0,21,0,7,28,49,48,145,24,,,,,,,,,2018
1028,262,H,Detroit,7,0,0,7,14,3,3,-170,4,,,,,,,,,2018
1028,263,V,TampaBay,0,9,7,18,34,53.5,54.5,160,3,,,,,,,,,2018
1028,264,H,Cincinnati,7,20,7,3,37,4.5,3.5,-190,28,,,,,,,,,2018
1028,265,V,Baltimore,7,0,7,7,21,43.5,3,-150,4,,,,,,,,,2018
1028,266,H,Carolina,7,17,3,9,36,1,44,130,22.5,,,,,,,,,2018
1028,267,V,Indianapolis,10,3,8,21,42,1.5,3.5,-200,3,,,,,,,,,2018
1028,268,H,Oakland,0,14,14,0,28,51,51,170,26.5,,,,,,,,,2018
1028,269,V,SanFrancisco,2,3,7,3,15,43.5,3,-150,1,,,,,,,,,2018
1028,270,H,Arizona,0,3,0,15,18,pk,40,130,17.5,,,,,,,,,2018
1028,271,V,GreenBay,7,3,10,7,27,56,57,290,29,,,,,,,,,2018
1028,272,H,LARams,0,8,15,6,29,10,7.5,-380,5.5,,,,,,,,,2018
1028,273,V,NewOrleans,7,10,10,3,30,53,2.5,-140,28,,,,,,,,,2018
1028,274,H,Minnesota,7,6,0,7,20,1.5,54,120,1,,,,,,,,,2018
1029,275,V,NewEngland,3,6,3,13,25,13.5,14,-1200,7,,,,,,,,,2018
1029,276,H,Buffalo,0,3,3,0,6,44.5,44,750,22.5,,,,,,,,,2018
1101,307,V,Oakland,3,0,0,0,3,46,1.5,-130,2.5,,,,,,,,,2018
1101,308,H,SanFrancisco,7,10,14,3,34,2.5,44,110,22.5,,,,,,,,,2018
1104,451,V,Detroit,0,6,0,3,9,48.5,47,190,pk,,,,,,,,,2018
1104,452,H,Minnesota,7,10,0,7,24,5.5,5,-240,22.5,,,,,,,,,2018
1104,453,V,KansasCity,7,14,13,3,37,9,8.5,-430,4.5,,,,,,,,,2018
1104,454,H,Cleveland,3,12,0,6,21,52.5,51.5,330,27,,,,,,,,,2018
1104,455,V,Pittsburgh,7,7,6,3,23,47,47,110,24,,,,,,,,,2018
1104,456,H,Baltimore,3,3,7,3,16,2.5,1.5,-130,2.5,,,,,,,,,2018
1104,457,V,TampaBay,0,14,7,7,28,55,56,230,26,,,,,,,,,2018
1104,458,H,Carolina,14,21,0,7,42,6.5,6,-280,pk,,,,,,,,,2018
1104,459,V,NYJets,0,3,0,3,6,43.5,43,135,20.5,,,,,,,,,2018
1104,460,H,Miami,0,6,0,7,13,2.5,3,-155,pk,,,,,,,,,2018
1104,461,V,Atlanta,7,14,7,10,38,48,47,105,23.5,,,,,,,,,2018
1104,462,H,Washington,0,7,7,0,14,1.5,1.5,-125,2.5,,,,,,,,,2018
1104,463,V,Chicago,0,28,3,10,41,10,10,-550,3,,,,,,,,,2018
1104,464,H,Buffalo,0,0,3,6,9,37,38,400,17,,,,,,,,,2018
1104,465,V,Houston,7,9,0,3,19,45.5,46.5,100,23.5,,,,,,,,,2018
1104,466,H,Denver,3,7,7,0,17,1,1,-120,2,,,,,,,,,2018
1104,467,V,LAChargers,6,13,0,6,25,pk,49,100,24,,,,,,,,,2018
1104,468,H,Seattle,7,3,0,7,17,47,1,-120,2,,,,,,,,,2018
1104,469,V,LARams,7,10,10,8,35,2.5,2,-135,7,,,,,,,,,2018
1104,470,H,NewOrleans,14,21,0,10,45,58.5,57.5,115,31.5,,,,,,,,,2018
1104,471,V,GreenBay,3,7,7,0,17,56,57,175,pk,,,,,,,,,2018
1104,472,H,NewEngland,7,10,0,14,31,5,5,-210,28,,,,,,,,,2018
1105,473,V,Tennessee,0,14,7,7,28,40.5,40,190,21,,,,,,,,,2018
1105,474,H,Dallas,7,7,0,0,14,5.5,4.5,-240,3,,,,,,,,,2018
1108,107,V,Carolina,7,7,0,7,21,50,51,170,0.5,,,,,,,,,2018
1108,108,H,Pittsburgh,21,10,14,7,52,5,3.5,-200,26,,,,,,,,,2018
1111,251,V,Buffalo,14,17,7,3,41,37,37.5,250,19,,,,,,,,,2018
1111,252,H,NYJets,0,3,7,0,10,8.5,7,-310,4,,,,,,,,,2018
1111,253,V,Atlanta,0,10,0,6,16,3.5,5.5,-250,6,,,,,,,,,2018
1111,254,H,Cleveland,7,7,14,0,28,51,49.5,200,24.5,,,,,,,,,2018
1111,255,V,NewOrleans,7,28,10,6,51,4.5,6,-275,pk,,,,,,,,,2018
1111,256,H,Cincinnati,7,0,0,7,14,55.5,53.5,225,24,,,,,,,,,2018
1111,257,V,Washington,3,3,0,10,16,51.5,51,160,24,,,,,,,,,2018
1111,258,H,TampaBay,0,3,0,0,3,pk,3.5,-190,4,,,,,,,,,2018
1111,259,V,NewEngland,3,7,0,0,10,7,6.5,-300,7,,,,,,,,,2018
1111,260,H,Tennessee,17,7,3,7,34,46.5,46.5,240,24.5,,,,,,,,,2018
1111,261,V,Miami,3,6,3,0,12,47.5,49,550,23.5,,,,,,,,,2018
1111,262,H,GreenBay,7,7,14,3,31,9,13,-800,6.5,,,,,,,,,2018
1111,263,V,Jacksonville,7,9,7,3,26,47.5,48,140,3,,,,,,,,,2018
1111,264,H,Indianapolis,14,15,0,0,29,3,3,-160,24.5,,,,,,,,,2018
1111,265,V,Detroit,0,7,3,12,22,47,45,275,21,,,,,,,,,2018
1111,266,H,Chicago,13,13,8,0,34,6.5,7,-350,1.5,,,,,,,,,2018
1111,267,V,Arizona,7,0,7,0,14,50,49.5,1000,22,,,,,,,,,2018
1111,268,H,KansasCity,10,10,0,6,26,17,15.5,-2000,5.5,,,,,,,,,2018
1111,269,V,LAChargers,0,10,7,3,20,10,10,-600,4,,,,,,,,,2018
1111,270,H,Oakland,3,0,0,3,6,50,50.5,425,24,,,,,,,,,2018
1111,271,V,Seattle,14,0,7,10,31,51.5,51,400,25.5,,,,,,,,,2018
1111,272,H,LARams,7,10,3,16,36,9.5,9.5,-550,6,,,,,,,,,2018
1111,273,V,Dallas,3,10,0,14,27,43,45.5,300,23.5,,,,,,,,,2018
1111,274,H,Philadelphia,0,3,10,7,20,6.5,7.5,-400,7,,,,,,,,,2018
1112,275,V,NYGiants,7,3,10,7,27,44,45,145,23,,,,,,,,,2018
1112,276,H,SanFrancisco,3,10,7,3,23,3,3,-170,2,,,,,,,,,2018
1115,307,V,GreenBay,14,7,0,3,24,49.5,49,140,26,,,,,,,,,2018
1115,308,H,Seattle,3,14,0,10,27,2.5,3,-160,1,,,,,,,,,2018
1118,451,V,Carolina,7,0,0,12,19,3.5,4,-220,2.5,,,,,,,,,2018
1118,452,H,Detroit,7,3,3,7,20,50.5,48.5,180,23.5,,,,,,,,,2018
1118,453,V,Dallas,3,0,3,16,22,47.5,50,170,24.5,,,,,,,,,2018
1118,454,H,Atlanta,0,6,3,10,19,3,3.5,-200,0.5,,,,,,,,,2018
1118,455,V,Cincinnati,0,7,14,0,21,43.5,43.5,240,20.5,,,,,,,,,2018
1118,456,H,Baltimore,7,6,8,3,24,4.5,6.5,-300,1.5,,,,,,,,,2018
1118,457,V,Minnesota,0,0,3,17,20,45.5,43.5,120,pk,,,,,,,,,2018
1118,458,H,Chicago,3,11,0,11,25,3,2.5,-140,21,,,,,,,,,2018
1118,459,V,Philadelphia,0,7,0,0,7,54.5,57.5,260,27.5,,,,,,,,,2018
1118,460,H,NewOrleans,10,14,14,10,48,9,7,-330,pk,,,,,,,,,2018
1118,461,V,Tennessee,0,3,0,7,10,48,50,105,pk,,,,,,,,,2018
1118,462,H,Indianapolis,7,17,7,7,38,3,1.5,-125,24,,,,,,,,,2018
1118,463,V,Houston,10,7,3,3,23,2,3,-170,19.5,,,,,,,,,2018
1118,464,H,Washington,0,7,7,7,21,43,40.5,145,pk,,,,,,,,,2018
1118,465,V,TampaBay,0,7,7,21,35,52,54,145,pk,,,,,,,,,2018
1118,466,H,NYGiants,7,7,10,14,38,2,3,-170,27,,,,,,,,,2018
1118,467,V,Denver,0,7,7,9,23,47,47,275,23.5,,,,,,,,,2018
1118,468,H,LAChargers,6,7,6,3,22,7,7,-350,3,,,,,,,,,2018
1118,469,V,Oakland,7,7,6,3,23,41,41,180,20.5,,,,,,,,,2018
1118,470,H,Arizona,14,0,0,7,21,3,4.5,-220,3,,,,,,,,,2018
1118,471,V,Pittsburgh,0,0,6,14,20,6,4,-210,4.5,,,,,,,,,2018
1118,472,H,Jacksonville,0,9,7,0,16,47.5,47,175,21.5,,,,,,,,,2018
1119,475,V,KansasCity,7,16,7,21,51,63.5,64,150,35,,,,,,,,,2018
1119,476,H,LARams,13,10,17,14,54,3,3,-180,pk,,,,,,,,,2018
1122,105,V,Chicago,0,9,0,14,23,4,3,-170,2.5,,,,,,,,,2018
1122,106,H,Detroit,0,7,6,3,16,46.5,43,145,21.5,,,,,,,,,2018
1122,107,V,Washington,0,7,6,10,23,41,40,280,20.5,,,,,,,,,2018
1122,108,H,Dallas,7,3,14,7,31,9,7,-360,3.5,,,,,,,,,2018
1122,109,V,Atlanta,3,0,7,7,17,59,61.5,500,31,,,,,,,,,2018
1122,110,H,NewOrleans,7,10,7,7,31,12,12.5,-700,4,,,,,,,,,2018
1125,251,V,Jacksonville,0,14,0,7,21,4,3,-170,3,,,,,,,,,2018
1125,252,H,Buffalo,14,0,0,10,24,38,36.5,145,19.5,,,,,,,,,2018
1125,253,V,Oakland,7,3,7,0,17,43.5,42,575,21,,,,,,,,,2018
1125,254,H,Baltimore,3,10,7,14,34,11,13,-850,7,,,,,,,,,2018
1125,255,V,SanFrancisco,0,6,3,0,9,54,55,105,26.5,,,,,,,,,2018
1125,256,H,TampaBay,7,6,7,7,27,3.5,2,-125,pk,,,,,,,,,2018
1125,257,V,NYGiants,9,10,0,3,22,46.5,50,190,27,,,,,,,,,2018
1125,258,H,Philadelphia,0,11,3,11,25,4.5,5,-240,4,,,,,,,,,2018
1125,259,V,Cleveland,14,14,7,0,35,48,47,-110,23,,,,,,,,,2018
1125,260,H,Cincinnati,0,7,7,6,20,3,pk,-110,3,,,,,,,,,2018
1125,261,V,NewEngland,7,3,10,7,27,9,12.5,-800,7.5,,,,,,,,,2018
1125,262,H,NYJets,7,3,3,0,13,47,46.5,550,24,,,,,,,,,2018
1125,263,V,Seattle,0,10,7,13,30,47,47,140,23.5,,,,,,,,,2018
1125,264,H,Carolina,3,10,7,7,27,3,3,-160,0.5,,,,,,,,,2018
1125,265,V,Miami,7,7,3,7,24,51,52.5,340,27,,,,,,,,,2018
1125,266,H,Indianapolis,7,7,0,13,27,10,8,-440,6.5,,,,,,,,,2018
1125,267,V,Arizona,10,0,0,0,10,44,43.5,700,21,,,,,,,,,2018
1125,268,H,LAChargers,0,28,14,3,45,11,14,-1100,7,,,,,,,,,2018
1125,269,V,Pittsburgh,0,10,7,0,17,3.5,3,-170,3,,,,,,,,,2018
1125,270,H,Denver,3,7,7,7,24,47.5,47.5,145,24.5,,,,,,,,,2018
1125,271,V,GreenBay,7,7,0,3,17,48.5,48.5,170,26.5,,,,,,,,,2018
1125,272,H,Minnesota,7,7,10,0,24,3.5,3.5,-200,3,,,,,,,,,2018
1126,273,V,Tennessee,10,0,7,0,17,43,42.5,170,21.5,,,,,,,,,2018
1126,274,H,Houston,7,17,3,7,34,5.5,3.5,-200,pk,,,,,,,,,2018
1129,301,V,NewOrleans,0,0,10,0,10,7.5,7.5,-400,9,,,,,,,,,2018
1129,302,H,Dallas,10,3,0,0,13,54.5,51.5,300,27,,,,,,,,,2018
1202,351,V,Indianapolis,0,0,0,0,0,3,4.5,-240,4,,,,,,,,,2018
1202,352,H,Jacksonville,0,3,0,3,6,48,45.5,190,21,,,,,,,,,2018
1202,353,V,LAChargers,7,0,8,18,33,52.5,53.5,160,1.5,,,,,,,,,2018
1202,354,H,Pittsburgh,13,10,0,7,30,3.5,3,-190,27.5,,,,,,,,,2018
1202,355,V,Carolina,7,0,10,0,17,3,3.5,-190,5.5,,,,,,,,,2018
1202,356,H,TampaBay,10,7,7,0,24,56,52,160,26,,,,,,,,,2018
1202,357,V,Baltimore,7,3,6,10,26,2,46.5,135,21.5,,,,,,,,,2018
1202,358,H,Atlanta,3,7,0,6,16,48,2.5,-155,1,,,,,,,,,2018
1202,359,V,Cleveland,0,0,7,6,13,48,48,200,21.5,,,,,,,,,2018
1202,360,H,Houston,10,13,3,3,29,6.5,5,-250,pk,,,,,,,,,2018
1202,361,V,Buffalo,0,6,3,8,17,6,40,160,0.5,,,,,,,,,2018
1202,362,H,Miami,7,7,0,7,21,42,3.5,-190,20,,,,,,,,,2018
1202,363,V,Chicago,7,7,0,13,27,3.5,3.5,-190,1,,,,,,,,,2018
1202,364,H,NYGiants,7,3,14,3,30,45,43.5,160,20.5,,,,,,,,,2018
1202,365,V,Denver,0,7,14,3,24,4.5,3.5,-200,0.5,,,,,,,,,2018
1202,366,H,Cincinnati,0,3,7,0,10,43.5,45,170,21,,,,,,,,,2018
1202,367,V,LARams,3,10,3,14,30,10,10,-550,4,,,,,,,,,2018
1202,368,H,Detroit,0,3,10,3,16,55,54,400,25,,,,,,,,,2018
1202,369,V,Arizona,0,7,10,3,20,46,41,600,20,,,,,,,,,2018
1202,370,H,GreenBay,0,10,0,7,17,14,13.5,-900,6,,,,,,,,,2018
1202,371,V,KansasCity,10,9,14,7,40,15,14,-1100,6,,,,,,,,,2018
1202,372,H,Oakland,0,7,9,17,33,56,53.5,700,25,,,,,,,,,2018
1202,373,V,NYJets,10,6,6,0,22,40,40.5,400,20,,,,,,,,,2018
1202,374,H,Tennessee,0,6,7,13,26,10,9.5,-550,7,,,,,,,,,2018
1202,375,V,Minnesota,0,7,3,0,10,48,50.5,220,25.5,,,,,,,,,2018
1202,376,H,NewEngland,7,3,7,7,24,6,6,-270,3,,,,,,,,,2018
1202,377,V,SanFrancisco,0,3,7,6,16,46.5,45.5,425,21,,,,,,,,,2018
1202,378,H,Seattle,6,14,7,16,43,10,9.5,-600,3.5,,,,,,,,,2018
1203,379,V,Washington,0,13,0,0,13,44,45,220,21.5,,,,,,,,,2018
1203,380,H,Philadelphia,7,7,0,14,28,7,6,-270,6,,,,,,,,,2018
1206,101,V,Jacksonville,2,0,7,0,9,38,37,200,17.5,,,,,,,,,2018
1206,102,H,Tennessee,7,9,14,0,30,4,5.5,-250,0.5,,,,,,,,,2018
1209,105,V,Baltimore,0,10,7,7,24,49,49,250,24,,,,,,,,,2018
1209,106,H,KansasCity,7,10,0,7,27,7.5,7,-310,0.5,,,,,,,,,2018
1209,107,V,Indianapolis,0,17,7,0,24,49,49,180,24.5,,,,,,,,,2018
1209,108,H,Houston,7,0,7,7,21,5.5,4,-220,4,,,,,,,,,2018
1209,109,V,Carolina,7,10,3,0,20,1,1,-120,24.5,,,,,,,,,2018
1209,110,H,Cleveland,7,10,0,9,26,46.5,48,100,pk,,,,,,,,,2018
1209,111,V,Atlanta,7,0,0,13,20,48,50.5,160,pk,,,,,,,,,2018
1209,112,H,GreenBay,7,13,14,0,34,4,4,-190,24.5,,,,,,,,,2018
1209,113,V,NewOrleans,0,3,8,17,28,8,9.5,-450,8,,,,,,,,,2018
1209,114,H,TampaBay,7,7,0,0,14,57.5,55,350,27.5,,,,,,,,,2018
1209,115,V,NYJets,3,10,0,14,27,9,37,180,19,,,,,,,,,2018
1209,116,H,Buffalo,14,3,3,3,23,38,4,-220,1,,,,,,,,,2018
1209,117,V,NewEngland,6,21,0,6,33,9,9,-450,3.5,,,,,,,,,2018
1209,118,H,Miami,7,14,7,6,34,48,49.5,350,25,,,,,,,,,2018
1209,119,V,LARams,3,3,0,0,6,3,3,-155,3,,,,,,,,,2018
1209,120,H,Chicago,3,3,9,0,15,54,50.5,135,24,,,,,,,,,2018
1209,121,V,NYGiants,7,27,6,0,40,41,3,-165,1.5,,,,,,,,,2018
1209,122,H,Washington,0,0,0,16,16,pk,39.5,142,17,,,,,,,,,2018
1209,123,V,Denver,0,0,7,7,14,4.5,3,-160,4,,,,,,,,,2018
1209,124,H,SanFrancisco,3,17,0,0,20,44,45,140,22,,,,,,,,,2018
1209,125,V,Cincinnati,3,9,0,9,21,48,48.5,900,24,,,,,,,,,2018
1209,126,H,LAChargers,7,10,3,6,26,14.5,16.5,-1600,7.5,,,,,,,,,2018
1209,127,V,Detroit,0,3,7,7,17,1.5,2.5,-145,pk,,,,,,,,,2018
1209,128,H,Arizona,0,0,0,3,3,41.5,40.5,125,19.5,,,,,,,,,2018
1209,129,V,Philadelphia,0,0,6,17,23,43.5,45.5,150,21.5,,,,,,,,,2018
1209,130,H,Dallas,3,3,3,14,29,4,3,-180,pk,,,,,,,,,2018
1209,131,V,Pittsburgh,0,14,0,7,21,pk,10,-600,4.5,,,,,,,,,2018
1209,132,H,Oakland,7,3,0,14,24,52,51,425,25,,,,,,,,,2018
1210,133,V,Minnesota,0,0,0,7,7,46,45.5,142,21,,,,,,,,,2018
1210,134,H,Seattle,0,3,0,18,21,3.5,3,-165,2.5,,,,,,,,,2018
1213,301,V,LAChargers,0,7,7,15,29,56.5,54.5,170,27,,,,,,,,,2018
1213,302,H,KansasCity,14,0,7,7,28,3,3.5,-200,pk,,,,,,,,,2018
1215,303,V,Houston,3,13,0,13,29,7,7,-350,2.5,,,,,,,,,2018
1215,304,H,NYJets,3,6,6,7,22,42.5,44.5,275,22,,,,,,,,,2018
1215,305,V,Cleveland,7,3,0,7,17,44.5,47.5,105,pk,,,,,,,,,2018
1215,306,H,Denver,7,3,3,3,16,3,1.5,-125,24,,,,,,,,,2018
1216,307,V,Miami,0,10,7,0,17,43,45.5,320,21.5,,,,,,,,,2018
1216,308,H,Minnesota,21,0,3,17,41,7,8,-420,1.5,,,,,,,,,2018
